Codes,New_Code,Borough,Names,Population_and_Age_Age_structure_(percentage)__2013_Aged_015,Population_and_Age_Age_structure_(percentage)__2013_Aged_1664,Population_and_Age_Age_structure_(percentage)__2013_Aged_65+,Population_and_Age_Aged_015_2013,Population_and_Age_Aged_1664_2013,Population_and_Age_Aged_65+_2013,Population_and_Age_All_ages_2013,Population_and_Age_Mean_age_2013,Population_and_Age_Median_age_2013,Area_and_Density_Population_density_(persons_per_sq_km)_2013,Diversity_Ethnic_Group_5_groups__2011_Census_White,Diversity_Ethnic_Group_5_groups__2011_Census_Mixed,Diversity_Ethnic_Group_5_groups__2011_Census_Asian_or_Asian_British,Diversity_Ethnic_Group_5_groups__2011_Census_Black_or_Black_British,Diversity_Ethnic_Group_5_groups__2011_Census_Other,Births_and_deaths_Births_2013,Births_and_deaths_Deaths_2013,Births_and_deaths_Standardised_Mortality_Ratio_(SMR)_2013,Life_Expectancy_Life_expectancy_at_age_65_(all_persons)_20092013,House_Prices_Median_House_Price_2013,Household_Income_Mean_Modelled_Household_income_(£)_2012/13,"Crime_Burglary,_Burglary_In_A_Dwelling_(2014)_","Crime_Burglary,_Burglary_In_Other_Buildings_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Dwelling_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Motor_Vehicle_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Other_Building_(2014)_","Crime_Drugs,_Drug_Trafficking_(2014)_","Crime_Drugs,_Possession_Of_Drugs_(2014)_","Crime_Robbery,_Business_Property_(2014)_","Crime_Robbery,_Personal_Property_(2014)_","Crime_Sexual_Offences,_Rape_(2014)_","Crime_Theft_&_Handling,_Handling_Stolen_Goods_(2014)_","Crime_Theft_&_Handling,_Motor_Vehicle_Interference_&_Tampering_(2014)_","Crime_Theft_&_Handling,_Theft_From_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft_From_Shops_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Pedal_Cycle_(2014)_","Crime_Violence_Against_The_Person,_Assault_With_Injury_(2014)_","Crime_Violence_Against_The_Person,_Common_Assault_(2014)_","Crime_Violence_Against_The_Person,_Harassment_(2014)_","Crime_Violence_Against_The_Person,_Offensive_Weapon_(2014)_","Crime_Violence_Against_The_Person,_Wounding/GBH_(2014)_",Crime_Total_crime_rate_2013/14,Crime_Total_crime_(numbers)_2013/14
00AHGU,E05000160,Croydon,Sanderstead,18.3908046,61.68582375,19.92337165,2350,8100,2600,13050,41.99172857,44,2071.428571,10290,513,1264,587,123,112,77,54.8,22.12390511,360000,59000,61,20,8,14,2,0,11,0,5,3,0,5,45,16,14,0,27,23,43,1,2,28.22302324,368
00AHGW,E05000161,Croydon,Selhurst,25.34059946,65.9400545,8.719346049,4650,12000,1650,18350,33.13662094,32,7978.26087,6213,1602,3451,6388,433,359,147,154.3,16.6614358,188747.5,37920,104,78,46,66,34,17,149,7,38,18,4,2,118,73,56,13,145,142,158,14,57,91.29106188,1674
00AHGX,E05000162,Croydon,Selsdon and Ballards,15.3526971,63.48547718,21.16182573,1800,7700,2550,12050,43.15265781,46,1882.8125,9409,335,1251,628,96,96,77,62.6,24.41447559,323750,56510,58,18,3,42,6,0,21,1,10,3,0,3,53,14,15,2,18,30,21,0,9,30.82931694,371
00AHGY,E05000163,Croydon,Shirley,19.8630137,62.32876712,17.80821918,2900,9050,2600,14550,39.89941031,40,5214.285714,9878,665,1598,1957,198,168,103,73.7,22.21463128,305000,48410,69,29,18,37,8,5,28,1,10,3,0,5,53,28,27,8,54,62,74,3,14,41.00447196,596
00AHGZ,E05000164,Croydon,South Norwood,21.79104478,68.05970149,10.14925373,3600,11400,1700,16750,35.60317366,35,6979.166667,7879,1440,1555,5395,249,326,112,111.4,19.64901916,211500,41840,117,49,47,56,22,10,84,9,59,16,3,9,98,18,52,10,112,109,102,19,58,79.19727647,1326
00AHHA,E05000165,Croydon,Thornton Heath,25.07462687,65.37313433,9.552238806,4200,10950,1600,16700,34.23035618,34,9852.941176,5437,1405,2268,7089,340,290,85,103.5,19.66728749,215000,40960,97,38,41,57,13,7,60,2,41,13,7,7,101,100,50,8,113,121,131,11,58,72.89797871,1221
00AHHB,E05000166,Croydon,Upper Norwood,21.03658537,67.68292683,11.58536585,3400,11100,1900,16400,36.31616125,36,6307.692308,7838,1206,2611,4069,358,250,106,107.4,19.06002378,282500,45670,97,47,27,59,19,3,43,4,37,8,0,28,130,57,41,14,80,96,94,5,19,64.96279127,1065
00AHHC,E05000167,Croydon,Waddon,22.63610315,66.4756447,10.88825215,3950,11500,1900,17400,35.18565787,34,4847.222222,9465,1281,2607,3305,419,302,165,149.3,17.55321162,207091,42100,104,80,36,73,8,9,44,3,55,12,2,21,111,29,42,16,123,93,116,8,34,75.49341159,1312
00AHHD,E05000168,Croydon,West Thornton,24.64985994,65.82633053,9.523809524,4450,11600,1700,17750,33.74350358,32,8925,4116,1130,6467,5320,456,319,88,101.7,20.520511,217000,39350,131,40,29,71,21,17,87,6,80,16,2,7,138,73,45,11,140,150,110,12,71,98.01160367,1741
00AHHE,E05000169,Croydon,Woodside,24.41176471,67.05882353,8.529411765,4150,11350,1450,16950,33.8705827,33,7727.272727,7512,1630,1582,5734,285,289,67,85.3,19.85496869,220000,41170,70,32,35,47,7,9,66,9,37,13,6,12,72,38,51,13,117,95,98,5,37,71.34848038,1210
00AJGC,E05000170,Ealing,Acton Central,20,70.15873016,9.841269841,3150,11000,1550,15650,35.09577304,33,8750,9252,843,2303,1714,1315,242,74,80.1,22.14580066,420000,46260,119,15,22,35,8,6,55,4,28,2,3,23,129,126,37,22,127,89,133,10,55,87.34153023,1370
00AJGD,E05000171,Ealing,Cleveland,21.54882155,65.99326599,12.45791246,3200,9650,1800,14700,36.68789207,36,6750,9187,764,2126,1590,891,196,60,58.7,21.2131635,461750,53560,79,41,16,29,1,8,17,0,17,2,0,23,76,28,20,18,53,43,85,0,17,45.96062458,677
00AJGE,E05000172,Ealing,Dormers Wells,22.2614841,65.72438163,12.01413428,3100,9250,1700,14050,35.2934352,33,6152.173913,2493,443,8030,2200,744,224,90,107.6,20.18767965,250000,37130,63,15,19,37,7,4,68,2,34,9,1,6,58,4,14,8,53,82,98,5,33,54.769187,770
00AJGF,E05000173,Ealing,Ealing Broadway,14.71571906,72.909699,12.04013378,2150,10850,1800,14850,37.46649709,34,7868.421053,9749,727,2306,627,620,165,96,85.6,20.17067395,442000,59190,99,64,19,43,15,5,71,4,18,8,6,15,115,459,25,89,117,162,138,12,52,133.9831933,1994
00AJGG,E05000174,Ealing,Ealing Common,15.38461538,73.07692308,11.88811189,2200,10300,1650,14150,37.37201819,35,6809.52381,9608,724,2130,919,638,191,89,97.1,19.01363341,450000,56300,129,39,21,35,5,5,45,1,12,1,0,7,90,45,30,37,40,57,70,4,21,68.47189902,971
00AJGH,E05000175,Ealing,East Acton,19.28020566,72.23650386,8.483290488,3750,13850,1650,19250,33.54121091,31,4523.255814,9339,1083,3224,2925,2135,317,89,97.2,21.48483791,296250,41590,203,104,28,61,27,5,81,13,47,7,4,44,269,111,70,49,105,124,129,7,54,107.549121,2081
00AJGJ,E05000176,Ealing,Elthorne,20.46979866,69.12751678,10.40268456,3050,10250,1500,14800,35.50100604,35,7450,9465,756,2156,1542,620,273,79,95.8,19.39579893,330000,49650,55,36,19,29,28,3,38,4,17,4,0,14,81,87,25,12,92,108,110,8,47,75.11452439,1115
00AJGK,E05000177,Ealing,Greenford Broadway,23.87640449,65.16853933,10.95505618,4250,11400,2000,17650,34.2944613,33,7120,7527,884,5448,2641,1125,300,118,104.3,18.16825204,229475,38540,96,48,33,65,15,12,87,3,50,7,4,17,99,74,39,11,108,130,144,7,55,84.0345626,1490
00AJGL,E05000178,Ealing,Greenford Green,21.37931034,66.20689655,12.06896552,3050,9600,1750,14450,36.04748102,34,4264.705882,7311,551,3994,1602,891,250,86,93.9,20.57353318,283750,44830,125,34,13,52,10,3,34,2,16,3,1,19,151,84,24,11,63,66,68,6,37,76.14178125,1102
00AJGM,E05000179,Ealing,Hanger Hill,18.98734177,67.40506329,13.60759494,3000,10550,2150,15700,37.40537804,35,4787.878788,8856,708,3672,761,1564,210,77,63.7,23.09871325,420000,58010,92,49,9,48,8,3,23,1,17,7,4,27,231,9,32,44,49,54,74,0,30,64.49971376,1014
00AJGN,E05000180,Ealing,Hobbayne,22.29965157,65.85365854,11.8466899,3200,9350,1700,14250,35.96156257,35,6522.727273,8865,834,2147,1669,714,234,60,69.3,20.66489938,325000,45900,58,21,16,33,2,4,37,0,9,5,1,5,61,19,22,12,38,60,60,3,20,48.34534387,691
00AJGP,E05000181,Ealing,Lady Margaret,19.43462898,68.90459364,11.66077739,2800,9600,1600,14000,36.29728584,34,9433.333333,2293,411,9142,1129,922,240,97,113.9,19.67837402,253500,41060,69,6,25,43,6,4,41,0,21,3,2,6,45,4,26,6,66,69,86,2,30,42.97014181,604
00AJGQ,E05000182,Ealing,Northfield,19.34306569,69.34306569,11.31386861,2600,9450,1550,13600,36.50733202,36,9133.333333,10383,631,1633,576,294,205,53,64,21.79413176,568000,63700,66,45,14,36,10,1,14,5,4,2,0,4,67,9,39,20,45,37,46,1,12,39.67498719,541
00AJGR,E05000183,Ealing,North Greenford,20.46979866,67.44966443,12.08053691,3000,10000,1800,14800,36.25680751,34,4656.25,6415,511,5444,1668,675,223,74,81.3,21.5241143,305000,46250,119,22,19,19,5,3,35,1,8,2,0,13,108,47,28,11,45,56,57,2,14,53.25523463,792
00AJGS,E05000184,Ealing,Northolt Mandeville,23.45276873,64.82084691,11.72638436,3550,9900,1800,15250,34.98891136,34,5482.142857,7340,654,4103,2345,741,260,72,74.1,21.6190589,245000,40330,94,18,33,53,6,8,48,1,28,10,0,15,89,15,19,21,70,83,98,1,28,57.8458317,884
00AJGT,E05000185,Ealing,Northolt West End,25.49019608,64.37908497,10.13071895,3950,9700,1550,15150,33.73585399,32,4371.428571,6792,825,3707,2927,870,271,91,109,19.62546009,195000,36170,72,20,35,57,10,6,74,3,24,8,1,16,97,45,36,6,72,86,99,7,34,72.55832345,1102
00AJGU,E05000186,Ealing,Norwood Green,20.35087719,68.42105263,11.22807018,2900,9650,1550,14150,35.65722101,33,3750,3081,536,7394,2139,882,214,87,96.7,19.49076119,248000,36730,65,21,27,47,19,7,137,2,34,2,0,12,61,14,21,16,136,206,139,3,46,92.76751727,1317
00AJGW,E05000187,Ealing,Perivale,20.25723473,67.84565916,11.89710611,3150,10450,1850,15400,36.24708535,34,4573.529412,6968,593,4972,1331,1475,237,67,71.8,21.94548832,296000,45650,109,46,18,45,2,8,73,4,17,5,2,28,167,86,39,22,58,62,82,5,32,77.91871602,1211
00AJGX,E05000188,Ealing,South Acton,20.44728435,69.00958466,10.54313099,3200,10650,1700,15550,35.13761409,33,9205.882353,8404,752,2283,2393,1041,265,129,129.9,17.8110538,350750,43350,81,40,19,52,42,11,111,4,17,8,4,14,90,39,29,25,98,102,144,9,61,87.01232033,1359
00AJGY,E05000189,Ealing,Southall Broadway,21.73913043,67.89297659,10.03344482,3300,10000,1500,14750,34.19633298,31,9343.75,841,247,10844,977,530,312,66,88.3,20.93001147,250000,35440,63,33,25,54,19,9,106,4,74,9,4,3,113,113,16,13,113,192,160,12,68,98.98048748,1474
00AJGZ,E05000190,Ealing,Southall Green,22.25913621,69.10299003,8.637873754,3450,10100,1300,14850,33.21642833,31,9406.25,1257,307,10471,1725,819,370,72,110.1,19.83004766,200000,34530,57,15,26,59,26,22,159,1,62,6,0,3,79,21,35,11,91,132,114,10,69,82.51024659,1275
00AJHA,E05000191,Ealing,Southfield,18.38235294,70.58823529,11.02941176,2450,9550,1500,13500,36.92036765,36,9714.285714,10678,611,1099,726,360,257,63,85.3,21.12565506,622500,66360,104,35,21,26,2,8,35,3,20,3,2,28,248,3,41,36,31,45,40,4,12,64.37103672,873
00AJHB,E05000192,Ealing,Walpole,18.81918819,69.74169742,11.43911439,2500,9400,1500,13450,36.58940055,35,9033.333333,9714,671,1811,734,400,227,85,105.8,20.22994468,450000,60250,61,57,24,50,11,4,49,2,10,2,6,7,74,87,25,26,57,72,80,3,35,70.08686614,944
00AKGL,E05000193,Enfield,Bowes,17.80821918,71.23287671,10.95890411,2600,10200,1600,14400,36.23554002,34,9733.333333,8632,776,2337,1494,812,236,61,74.6,21.79311001,280000,45290,102,23,14,25,2,3,44,3,20,4,0,15,129,5,43,2,62,49,54,9,16,48.91789763,714
00AKGM,E05000194,Enfield,Bush Hill Park,17.48251748,64.68531469,17.83216783,2500,9100,2550,14100,40.63762238,40,5720,10193,614,1354,1251,511,150,147,104.2,21.28558082,340000,52700,104,28,16,27,5,1,38,4,10,1,1,7,110,19,30,3,41,38,46,4,14,50.7713885,724
00AKGN,E05000195,Enfield,Chase,21.9858156,64.18439716,13.4751773,3100,8950,1900,13950,36.85864171,36,834.3195266,10545,651,882,1287,397,204,109,104.8,18.39442152,277000,45360,83,49,20,39,4,6,38,2,16,10,1,5,86,42,25,4,58,34,75,6,28,56.11122934,791
00AKGP,E05000196,Enfield,Cockfosters,16.49122807,64.21052632,19.29824561,2350,9050,2700,14100,40.68727196,39,1370.192308,10158,572,1871,688,499,162,118,74,21.9506245,357500,55190,99,40,11,25,3,3,26,1,12,3,0,10,69,45,10,3,39,31,51,0,10,44.16315049,628
00AKGQ,E05000197,Enfield,Edmonton Green,27.37127371,63.95663957,8.401084011,5000,11700,1550,18200,31.96565755,30,5951.612903,7078,1141,2304,6231,1195,360,72,87.5,21.33570671,196500,32940,127,49,48,69,27,13,201,2,91,14,4,10,129,119,51,33,175,175,173,26,69,110.640608,2041
00AKGR,E05000198,Enfield,Enfield Highway,25.22796353,64.1337386,10.63829787,4150,10400,1750,16300,33.67524897,31,3576.086957,9264,1036,1278,3496,953,260,70,80.6,21.17808182,230000,36850,150,53,30,36,8,8,100,4,53,11,7,19,109,64,45,10,105,115,112,8,48,89.14681575,1467
00AKGS,E05000199,Enfield,Enfield Lock,26.39296188,65.1026393,8.211143695,4500,10950,1400,16800,32.32979098,31,5166.666667,9048,1072,1166,4335,848,323,76,106.5,18.38798232,195000,37780,108,68,45,57,8,5,78,3,37,9,2,12,115,17,41,23,119,109,98,13,37,66.27462511,1128
00AKGT,E05000200,Enfield,Grange,17.35849057,63.39622642,19.24528302,2300,8300,2550,13100,41.31827097,41,4015.151515,10221,461,982,679,366,128,107,71.1,22.88133004,338975,58640,62,29,10,18,5,3,40,0,19,8,1,3,56,116,22,26,34,38,54,9,14,62.52835324,827
00AKGU,E05000201,Enfield,Haselbury,24.5508982,65.56886228,9.880239521,4100,10750,1600,16450,33.86952615,32,9277.777778,7428,968,2234,4416,1217,270,65,80.6,20.47680737,225000,37020,108,25,27,58,10,3,84,2,58,8,4,5,85,4,37,8,82,90,74,5,51,65.18732335,1084
00AKGW,E05000202,Enfield,Highlands,16.66666667,64.44444444,19.25925926,2200,8600,2550,13350,41.3887451,41,2647.058824,10307,488,1192,634,385,163,92,67,23.25550593,282000,55140,92,41,10,30,9,0,23,1,8,3,1,6,47,7,20,2,39,49,43,1,14,45.25590697,611
00AKGX,E05000203,Enfield,Jubilee,24.06779661,64.40677966,11.86440678,3500,9300,1750,14550,35.3846936,34,3782.051282,7044,802,1694,3764,1051,258,108,109.6,18.8871951,230000,38450,76,33,30,51,4,2,65,3,36,8,4,10,80,2,42,10,66,65,69,10,26,60.87607128,895
00AKGY,E05000204,Enfield,Lower Edmonton,27.21893491,62.72189349,9.763313609,4600,10400,1650,16650,32.71911243,31,7681.818182,6800,1075,2045,5544,1067,378,86,102.7,20.65696597,215000,35300,74,12,53,43,3,7,67,2,40,8,2,15,100,3,49,8,118,89,89,17,46,55.81284883,940
00AKGZ,E05000205,Enfield,Palmers Green,18.78980892,67.51592357,13.69426752,2900,10500,2150,15500,37.48209279,35,8263.157895,9790,818,2036,1581,937,234,93,86.4,20.9548966,300000,47480,152,43,15,37,11,2,36,5,35,3,2,27,139,60,63,10,68,68,68,6,28,68.49489796,1075
00AKHA,E05000206,Enfield,Ponders End,25.4491018,65.26946108,8.982035928,4250,10700,1500,16400,32.4471964,30,4771.428571,7114,892,2475,4190,993,274,74,97.4,19.93219284,211500,35810,97,38,33,54,9,8,80,1,37,6,6,6,99,119,42,18,111,111,101,16,47,74.58729967,1239
00AKHB,E05000207,Enfield,Southbury,24.66666667,65.33333333,10,3650,9650,1500,14800,33.90972825,33,5172.413793,9257,916,1322,2337,674,259,56,71.7,21.75649151,243000,41440,73,65,28,62,4,7,85,1,38,8,7,9,122,120,39,20,91,85,100,12,42,102.1814775,1528
00AKHC,E05000208,Enfield,Southgate,18.72909699,66.88963211,14.04682274,2800,9850,2050,14750,37.84131235,36,5537.037037,9885,812,2226,857,674,214,114,89.7,21.18834613,292000,52310,91,27,6,36,14,3,38,2,42,4,2,8,65,70,26,8,60,38,95,12,27,63.93277311,951
00AKHD,E05000209,Enfield,Southgate Green,17.70833333,66.66666667,15.625,2550,9450,2200,14200,38.87447844,37,5538.461538,9214,746,2221,1035,571,166,93,81.8,20.60778954,410000,54020,109,40,9,22,1,3,41,0,17,7,1,14,83,12,31,3,31,31,48,2,19,53.12390925,761
00AKHE,E05000210,Enfield,Town,19.93464052,64.37908497,15.68627451,3050,9750,2350,15100,38.85574028,39,6954.545455,12220,688,779,901,318,220,101,80.2,21.31971264,305000,53390,81,67,24,44,7,7,28,2,37,8,2,4,59,24,18,18,48,47,57,4,24,50.10807624,765
00AKHF,E05000211,Enfield,Turkey Street,24.66216216,63.85135135,11.82432432,3600,9300,1700,14600,34.62730279,33,6434.782609,8925,870,955,2970,657,262,98,103.5,19.82955626,232000,36270,133,50,26,41,4,8,74,2,27,15,3,12,110,25,39,10,95,89,91,8,29,80.82859464,1196
00AKHG,E05000212,Enfield,Upper Edmonton,25.40983607,65.30054645,9.016393443,4650,11700,1650,18050,32.78810409,31,6777.777778,7305,1102,2399,5212,1356,284,142,161.6,16.59092786,218500,35720,164,55,29,92,20,6,103,2,70,10,2,13,201,105,54,20,160,147,129,15,69,124.3969298,2277
00AKHH,E05000213,Enfield,Winchmore Hill,18.47826087,66.30434783,15.2173913,2550,9000,2100,13600,39.34412809,39,4928.571429,10212,683,1141,785,582,160,112,93.8,19.73102794,422500,58520,94,29,10,18,6,0,22,3,17,1,1,15,98,19,37,4,33,29,42,3,10,49.76027895,686
00ALGP,E05000214,Greenwich,Abbey Wood,26.53721683,63.43042071,10.03236246,4200,10150,1600,15950,33.75261865,33,5722.222222,8434,778,1416,4798,278,310,102,109,18.80812634,195000,39630,65,32,51,80,4,7,74,4,23,13,2,8,60,95,42,7,112,140,119,10,54,78.25808517,1223
00ALGQ,E05000215,Greenwich,Blackheath Westcombe,16.92913386,67.32283465,15.7480315,2200,8900,2000,13100,39.29176174,38,6047.619048,10698,516,742,743,176,183,106,90.1,19.29273817,350000,63690,86,109,24,27,8,2,29,5,16,2,1,19,118,11,37,18,41,51,82,2,25,69.8652543,898
00ALGR,E05000216,Greenwich,Charlton,22.34042553,66.31205674,11.34751773,3250,9650,1600,14500,35.23643466,34,7050,9179,791,1957,2231,227,266,88,102,17.59799437,350000,47740,53,31,22,37,11,6,33,1,19,3,2,6,76,21,37,10,69,88,77,5,27,53.82176823,775
00ALGS,E05000217,Greenwich,Coldharbour and New Eltham,17.76061776,64.09266409,18.14671815,2350,8600,2350,13300,40.319144,40,5180,10676,407,786,916,277,155,125,95.9,19.6512669,265000,48340,147,12,17,35,6,5,47,1,7,3,3,14,93,6,26,4,74,44,67,2,17,49.86574607,650
00ALGT,E05000218,Greenwich,Eltham North,18.07228916,63.85542169,18.07228916,2300,8150,2300,12750,41.16721654,42,4788.461538,11104,341,614,368,92,130,90,74.8,21.93595579,280000,54840,73,32,18,26,3,0,32,4,6,2,3,19,116,87,18,3,44,60,70,3,18,59.36474918,742
00ALGU,E05000219,Greenwich,Eltham South,16,67.6,16.4,2050,8800,2050,12900,37.90807911,34,2717.391304,10430,395,894,665,157,167,111,99.5,21.39788351,247750,46660,71,45,11,25,9,4,37,2,17,8,1,6,86,115,23,5,53,61,99,5,22,75.518145,952
00ALGW,E05000220,Greenwich,Eltham West,20.98214286,66.51785714,12.5,2450,7600,1400,11450,36.22249039,35,4666.666667,7845,355,792,1193,214,165,66,91.3,18.19233989,250000,42970,50,38,25,51,4,2,42,2,16,0,0,8,58,27,19,7,55,57,79,5,15,55.88680253,629
00ALGX,E05000221,Greenwich,Glyndon,23.38028169,69.01408451,7.605633803,4250,12750,1350,18350,32.80470774,32,10441.17647,8176,983,3590,4985,437,392,133,167.2,16.45987151,193000,39810,78,28,40,45,8,6,90,0,29,17,0,9,58,4,33,6,135,104,113,12,49,56.97719797,1023
00ALGY,E05000222,Greenwich,Greenwich West,18.28908555,73.74631268,7.96460177,3200,12950,1350,17550,33.10399104,32,6053.571429,11029,980,1808,2393,317,295,88,110.7,18.7665225,400000,53640,76,94,33,40,9,11,118,8,37,15,4,16,88,86,48,63,115,107,142,5,53,96.80807609,1660
00ALGZ,E05000223,Greenwich,Kidbrooke with Hornfair,20.28469751,67.25978648,12.8113879,2900,9850,1800,14500,36.66669038,35,5854.166667,9490,702,1711,2119,278,224,78,75.6,19.95476831,245000,44870,116,27,22,46,4,6,24,4,19,5,3,8,92,15,47,8,96,91,84,3,38,59.24987686,843
00ALHA,E05000224,Greenwich,Middle Park and Sutcliffe,21.34831461,62.54681648,15.73033708,2900,8700,2100,13750,37.85428078,37,4045.454545,10260,567,943,1425,310,196,97,88,20.79496431,250000,44350,81,34,44,55,7,6,34,4,15,5,1,13,65,3,24,12,83,83,79,3,23,70.53757054,950
00ALHB,E05000225,Greenwich,Peninsula,17.9144385,74.86631016,7.219251337,3500,14500,1350,19350,32.88668843,31,4155.555556,9758,752,1996,1307,238,275,65,82.7,20.19572316,357500,53050,90,80,17,57,26,3,55,6,16,10,7,10,169,255,50,30,122,118,119,9,47,108.533291,2050
00ALHC,E05000226,Greenwich,Plumstead,22.79635258,67.78115502,9.422492401,3900,11450,1550,16900,34.01296409,33,6854.166667,7466,834,4209,3914,313,312,78,98,19.7088005,203000,40660,86,33,43,42,10,10,148,2,27,13,3,12,62,43,35,9,133,113,148,10,56,66.45301729,1100
00ALHD,E05000227,Greenwich,Shooters Hill,20.37735849,66.03773585,13.58490566,2750,9000,1800,13600,37.98308285,38,3486.842105,8931,698,1352,2176,276,187,79,85,21.56213086,248000,49190,69,15,24,24,3,5,22,0,5,5,4,12,76,21,32,1,54,57,68,1,21,45.59430071,608
00ALHE,E05000228,Greenwich,Thamesmead Moorings,29.13580247,65.67901235,4.938271605,6050,13850,1050,20950,29.80250939,30,4218.75,8360,1053,1539,8442,336,475,96,152.6,15.85731005,157000,43220,70,64,34,56,11,7,64,2,21,13,1,18,125,73,39,8,136,145,135,8,80,69.46885374,1426
00ALHF,E05000229,Greenwich,Woolwich Common,26.74094708,66.85236769,6.128133705,4950,12450,1100,18550,30.68119982,30,6903.846154,7414,990,2940,5764,391,386,66,104.7,18.19346654,224500,38090,70,33,46,50,26,20,113,1,37,16,5,12,68,267,24,23,179,190,164,10,87,90.07616735,1636
00ALHG,E05000230,Greenwich,Woolwich Riverside,24.07862408,69.53316953,6.388206388,5050,14750,1350,21100,31.31860579,31,6359.375,9752,1132,2605,5216,415,441,82,99.8,17.35646944,276500,42080,68,79,61,65,20,14,144,5,36,12,12,19,101,297,32,58,184,235,217,16,105,101.2989531,2093
00AMGA,E05000231,Hackney,Brownswood,13.99176955,79.83539095,6.172839506,1750,9800,750,12300,33.35124681,31,15187.5,6849,699,1155,1768,620,176,41,100.9,20.92599042,351250,48860,51,51,31,38,5,6,34,4,72,7,2,6,56,13,41,21,61,97,89,5,38,73.32521315,908.7592868
00AMGB,E05000232,Hackney,Cazenove,28.99628253,65.05576208,5.94795539,3900,8900,800,13600,29.58542751,29,19214.28571,7594,657,1856,2361,924,347,29,67.5,23.83832873,295000,46380,52,36,17,38,3,5,24,6,28,10,2,7,38,16,20,27,42,68,65,0,17,46.83377309,639.0892251
00AMGC,E05000233,Hackney,Chatham,21.40221402,71.58671587,7.011070111,2950,9800,950,13650,32.48262862,31,15055.55556,6032,1071,1395,4201,533,250,56,107.7,21.00684976,322500,39570,69,76,27,32,13,6,61,11,37,9,4,5,94,87,21,75,133,148,151,9,56,112.2873622,1537.77505
00AMGD,E05000234,Hackney,Clissold,19.43319838,73.68421053,7.287449393,2400,9250,900,12500,34.00945837,33,17642.85714,7972,830,953,1924,533,170,43,84.2,19.68687789,440000,56050,66,33,19,26,5,5,35,0,47,4,1,10,68,12,34,75,54,63,77,5,26,71.28618133,896.0375724
00AMGE,E05000235,Hackney,Dalston,16.66666667,77.12418301,6.209150327,2550,11950,950,15450,33.43267974,31,17000,8177,907,1403,3505,735,227,67,118.9,19.73616261,391750,46500,109,113,30,31,27,13,96,7,91,9,12,8,160,149,20,147,150,163,152,20,93,164.9690562,2564.645929
00AMGF,E05000236,Hackney,De Beauvoir,15.97222222,77.08333333,7.291666667,2300,11200,1050,14550,33.60190331,31,16000,8194,929,1201,2750,569,224,75,130.7,16.74529388,410000,47560,92,140,19,56,20,13,117,3,62,9,6,13,124,27,51,142,106,124,124,9,83,170.9325465,2490.83473
00AMGG,E05000237,Hackney,Hackney Central,17.96875,74.21875,7.8125,2250,9700,1000,12950,34.03039537,32,16000,5941,894,1418,3715,580,202,58,105.8,20.08779257,385000,42840,67,63,22,34,14,3,53,4,39,7,3,6,98,143,15,85,86,123,128,10,46,108.0166179,1404.447803
00AMGH,E05000238,Hackney,Hackney Downs,19.46564885,73.28244275,7.633587786,2550,9700,950,13250,33.56551566,32,13100,6239,937,1781,3345,619,234,47,90.6,20.23141099,340000,43360,98,27,27,41,11,9,49,3,47,8,1,21,80,1,30,27,74,89,100,4,36,75.87402049,1009
00AMGJ,E05000239,Hackney,Haggerston,14.7260274,79.79452055,5.821917808,2200,11700,850,14750,32.66564018,31,12166.66667,7569,878,1668,3073,716,155,49,106.3,19.07117756,400000,43830,65,124,26,47,25,19,119,5,67,10,7,10,94,26,49,156,140,149,132,9,102,172.5047336,2550.588026
00AMGK,E05000240,Hackney,Hoxton,15.18987342,78.48101266,6.329113924,2450,12500,1000,15950,32.506269,30,19750,8122,1044,1831,3303,874,200,62,103.9,19.15001561,412500,42490,52,102,22,48,27,13,111,1,79,17,6,11,75,29,35,94,121,139,122,20,66,125,1999.084547
00AMGL,E05000241,Hackney,King's Park,24.66960352,66.07929515,9.251101322,2850,7500,1050,11400,33.1308642,31,6305.555556,4215,749,1161,4436,537,224,44,85,21.13531814,401500,38930,68,26,27,28,3,4,30,2,20,5,1,6,47,7,24,26,79,97,81,3,38,64.08463018,732.9581773
00AMGM,E05000242,Hackney,Leabridge,20.35087719,72.98245614,7.01754386,2950,10400,1000,14350,33.07109304,31,12954.54545,6640,1030,2370,3407,592,286,80,132.3,16.47669157,325000,42650,119,61,26,42,9,8,42,2,33,9,1,16,107,18,37,36,77,104,97,8,33,76.22882533,1097.504711
00AMGN,E05000243,Hackney,Lordship,27.82258065,63.70967742,8.467741935,3500,7950,1050,12500,31.2614205,29,10333.33333,8536,591,772,1522,859,317,55,79.3,20.39954674,388000,48700,68,35,17,30,5,4,41,1,28,6,1,7,60,34,23,40,42,69,88,5,17,65.3667892,819.2567434
