Codes,New_Code,Borough,Names,Population_and_Age_Age_structure_(percentage)__2013_Aged_015,Population_and_Age_Age_structure_(percentage)__2013_Aged_1664,Population_and_Age_Age_structure_(percentage)__2013_Aged_65+,Population_and_Age_Aged_015_2013,Population_and_Age_Aged_1664_2013,Population_and_Age_Aged_65+_2013,Population_and_Age_All_ages_2013,Population_and_Age_Mean_age_2013,Population_and_Age_Median_age_2013,Area_and_Density_Population_density_(persons_per_sq_km)_2013,Diversity_Ethnic_Group_5_groups__2011_Census_White,Diversity_Ethnic_Group_5_groups__2011_Census_Mixed,Diversity_Ethnic_Group_5_groups__2011_Census_Asian_or_Asian_British,Diversity_Ethnic_Group_5_groups__2011_Census_Black_or_Black_British,Diversity_Ethnic_Group_5_groups__2011_Census_Other,Births_and_deaths_Births_2013,Births_and_deaths_Deaths_2013,Births_and_deaths_Standardised_Mortality_Ratio_(SMR)_2013,Life_Expectancy_Life_expectancy_at_age_65_(all_persons)_20092013,House_Prices_Median_House_Price_2013,Household_Income_Mean_Modelled_Household_income_(£)_2012/13,"Crime_Burglary,_Burglary_In_A_Dwelling_(2014)_","Crime_Burglary,_Burglary_In_Other_Buildings_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Dwelling_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Motor_Vehicle_(2014)_","Crime_Criminal_Damage,_Criminal_Damage_To_Other_Building_(2014)_","Crime_Drugs,_Drug_Trafficking_(2014)_","Crime_Drugs,_Possession_Of_Drugs_(2014)_","Crime_Robbery,_Business_Property_(2014)_","Crime_Robbery,_Personal_Property_(2014)_","Crime_Sexual_Offences,_Rape_(2014)_","Crime_Theft_&_Handling,_Handling_Stolen_Goods_(2014)_","Crime_Theft_&_Handling,_Motor_Vehicle_Interference_&_Tampering_(2014)_","Crime_Theft_&_Handling,_Theft_From_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft_From_Shops_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Motor_Vehicle_(2014)_","Crime_Theft_&_Handling,_Theft/Taking_Of_Pedal_Cycle_(2014)_","Crime_Violence_Against_The_Person,_Assault_With_Injury_(2014)_","Crime_Violence_Against_The_Person,_Common_Assault_(2014)_","Crime_Violence_Against_The_Person,_Harassment_(2014)_","Crime_Violence_Against_The_Person,_Offensive_Weapon_(2014)_","Crime_Violence_Against_The_Person,_Wounding/GBH_(2014)_",Crime_Total_crime_rate_2013/14,Crime_Total_crime_(numbers)_2013/14
00AFGL,E05000113,Bromley,Copers Cope,14.28571429,68.88888889,16.82539683,2300,10800,2650,15750,40.6449257,38,4772.727273,12709,623,971,878,211,253,157,104.8,19.48857156,265000,55310,81,74,22,79,14,4,66,2,7,7,2,4,121,71,25,8,76,65,101,2,49,61.8504436,976
00AFGM,E05000114,Bromley,Cray Valley East,22.36421725,60.7028754,16.93290735,3500,9550,2650,15700,38.22010089,38,1176.691729,13194,433,524,1204,90,243,130,101.6,20.68429432,212500,40390,146,68,56,71,19,5,57,4,23,4,6,21,123,176,63,13,109,112,150,4,35,91.24920736,1439
00AFGN,E05000115,Bromley,Cray Valley West,23.46041056,61.29032258,15.24926686,4050,10450,2550,17050,37.27149401,37,4371.794872,14435,488,615,1123,108,236,147,98,20.44768968,213500,39760,126,51,55,67,8,9,46,1,13,6,4,23,81,15,50,4,106,91,153,3,30,60.15917603,1029
00AFGP,E05000116,Bromley,Crystal Palace,20.23809524,71.42857143,8.333333333,2550,9150,1000,12700,34.60744849,34,5478.26087,7585,968,698,2825,179,215,68,107,18.35787332,231250,42730,112,49,39,52,13,6,41,1,57,10,2,9,91,16,36,20,89,112,94,4,43,84.45945946,1075
00AFGQ,E05000117,Bromley,Darwin,18.0952381,58.0952381,23.80952381,950,3050,1250,5250,43.244419,46,181.0344828,4865,121,64,43,17,51,42,80.8,20.4983859,364975,54780,29,16,4,14,0,1,8,1,2,1,0,2,33,2,11,1,17,17,9,1,6,43.66812227,230
00AFGR,E05000118,Bromley,Farnborough and Crofton,17.50841751,58.24915825,24.24242424,2650,8650,3550,14850,43.78122471,45,2121.428571,13246,280,799,207,100,125,131,69.3,23.80685746,336500,57400,70,21,9,27,15,2,17,1,9,1,0,7,61,17,15,2,50,46,72,1,20,40.94668191,609
00AFGS,E05000119,Bromley,Hayes and Coney Hall,18.82716049,62.03703704,19.13580247,3100,10050,3050,16200,41.38556077,43,1500,14593,392,507,309,105,134,125,76,21.59515433,360000,59000,72,36,13,20,7,0,23,3,7,2,0,10,78,30,14,7,45,34,56,3,14,34.98614105,568
00AFGT,E05000120,Bromley,Kelsey and Eden Park,19.50464396,62.22910217,18.26625387,3100,10100,2950,16150,40.90449926,42,3105.769231,13356,700,808,863,165,157,120,72.3,22.7129216,382000,57560,88,19,20,32,19,4,42,1,17,7,1,3,72,37,19,11,85,86,89,3,24,67.94500277,1102
00AFGU,E05000121,Bromley,Mottingham and Chislehurst North,22.54901961,63.23529412,14.21568627,2350,6400,1450,10200,36.9964647,36,4250,8150,376,509,875,77,163,72,90.2,19.43517679,219000,40510,106,34,35,39,2,7,59,2,8,9,2,13,52,55,29,3,63,55,109,3,24,88.28423216,904
00AFGW,E05000122,Bromley,Orpington,18.64951768,59.48553055,21.86495177,2900,9300,3400,15600,41.90800977,43,3616.27907,13376,412,728,687,108,179,125,69.6,21.9778322,290000,48100,110,91,40,43,42,3,37,8,22,8,5,15,71,237,32,6,94,88,142,7,32,79.85422927,1251
